                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.3145,                 1.6254,                 1.1413,                0.40068,                0.40864,                0.34266,                0.18449,                 1.5344,                 2.0516,                 1.3382,             0.00043325,             0.00043325,             0.00043325
                     35,                 1.3387,                 1.6874,                 1.1464,                0.35247,                0.47188,                0.35366,                0.19314,                 1.5234,                 2.0055,                 1.3473,             0.00043325,             0.00043325,             0.00043325
                     36,                 1.2513,                 1.5416,                 1.1075,                0.32056,                0.49066,                0.34902,                0.19391,                 1.5216,                 1.9952,                  1.352,              0.0004085,              0.0004085,              0.0004085
                     37,                 1.2766,                 1.4646,                 1.1299,                0.32056,                0.49066,                0.34902,                0.19391,                 1.5216,                 1.9952,                  1.352,             0.00038375,             0.00038375,             0.00038375
                     38,                 1.2689,                 1.4164,                 1.0996,                0.31185,                0.52986,                0.33872,                0.18514,                 1.5213,                  2.001,                 1.3523,               0.000359,               0.000359,               0.000359
                     39,                 1.2711,                 1.4531,                 1.1238,                0.29251,                0.52793,                0.33568,                0.18347,                 1.5009,                 1.9955,                 1.3353,             0.00033425,             0.00033425,             0.00033425
                     40,                 1.2792,                  1.586,                 1.1041,                0.29774,                0.55694,                0.33712,                0.19082,                 1.4761,                  1.976,                 1.3092,              0.0003095,              0.0003095,              0.0003095
                     41,                 1.2766,                 1.4941,                 1.1134,                0.29774,                0.55694,                0.33712,                0.19082,                 1.4761,                  1.976,                 1.3092,             0.00028475,             0.00028475,             0.00028475
                     42,                 1.3113,                 1.5201,                 1.1346,                0.34635,                 0.5704,                0.35638,                0.19834,                 1.4714,                 1.9512,                 1.3001,                0.00026,                0.00026,                0.00026
                     43,                 1.3036,                 1.5357,                 1.1032,                0.34881,                0.55945,                 0.3553,                 0.2021,                  1.476,                 1.9154,                 1.2932,             0.00023525,             0.00023525,             0.00023525
                     44,                 1.2879,                  1.617,                 1.1556,                0.35649,                0.55166,                0.35479,                0.19934,                 1.4795,                 1.9086,                 1.2964,              0.0002105,              0.0002105,              0.0002105
                     45,                 1.2451,                 1.5134,                 1.1136,                0.35649,                0.55166,                0.35479,                0.19934,                 1.4795,                 1.9086,                 1.2964,             0.00018575,             0.00018575,             0.00018575
                     46,                 1.2332,                 1.4294,                 1.1108,                0.36773,                0.57357,                0.37273,                0.20997,                 1.4789,                 1.9086,                 1.3028,               0.000161,               0.000161,               0.000161
                     47,                  1.228,                 1.4555,                 1.0809,                0.35243,                0.56813,                  0.371,                0.20973,                 1.4734,                 1.8971,                 1.3077,             0.00013625,             0.00013625,             0.00013625
                     48,                 1.2344,                 1.5017,                  1.136,                0.34574,                  0.581,                0.37399,                0.21388,                 1.4703,                 1.8838,                  1.312,              0.0001115,              0.0001115,              0.0001115
                     49,                 1.2678,                 1.4499,                 1.0979,                0.34574,                  0.581,                0.37399,                0.21388,                 1.4703,                 1.8838,                  1.312,              8.675e-05,              8.675e-05,              8.675e-05
                     50,                 1.2356,                 1.4899,                 1.1318,                0.34395,                 0.5793,                0.37181,                0.21159,                  1.469,                 1.8788,                 1.3118,                6.2e-05,                6.2e-05,                6.2e-05
