                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.4409,                 1.6626,                 1.2413,                0.39572,                0.46618,                0.40644,                0.19239,                 1.7005,                  1.897,                 1.4393,             0.00043325,             0.00043325,             0.00043325
                     35,                  1.453,                  1.709,                 1.2041,                0.45542,                0.47551,                0.38688,                0.19002,                 1.7211,                 1.9383,                 1.4679,             0.00043325,             0.00043325,             0.00043325
                     36,                 1.3466,                  1.578,                 1.1875,                0.46666,                0.53808,                 0.3829,                0.20382,                 1.6786,                 1.9352,                 1.4618,              0.0004085,              0.0004085,              0.0004085
                     37,                 1.4097,                 1.5939,                 1.2032,                0.46666,                0.53808,                 0.3829,                0.20382,                 1.6786,                 1.9352,                 1.4618,             0.00038375,             0.00038375,             0.00038375
                     38,                 1.3781,                 1.6619,                 1.1949,                0.45494,                0.56716,                0.39167,                0.20459,                 1.6475,                 1.9475,                 1.4595,               0.000359,               0.000359,               0.000359
                     39,                 1.4038,                  1.516,                 1.2285,                0.42603,                0.46618,                0.37395,                0.20154,                  1.617,                  1.962,                 1.4651,             0.00033425,             0.00033425,             0.00033425
                     40,                 1.4076,                 1.6072,                 1.2116,                0.49268,                0.48113,                0.39427,                0.19322,                 1.6102,                 1.9555,                 1.4604,              0.0003095,              0.0003095,              0.0003095
                     41,                  1.348,                 1.5776,                 1.2051,                0.49268,                0.48113,                0.39427,                0.19322,                 1.6102,                 1.9555,                 1.4604,             0.00028475,             0.00028475,             0.00028475
                     42,                 1.3313,                 1.7082,                 1.2135,                 0.4648,                 0.5223,                0.39146,                0.19211,                 1.5972,                  1.899,                 1.4412,                0.00026,                0.00026,                0.00026
                     43,                 1.3079,                 1.5606,                 1.1863,                0.43965,                0.54099,                0.39971,                0.19064,                 1.6152,                 1.8695,                   1.45,             0.00023525,             0.00023525,             0.00023525
                     44,                 1.2938,                 1.6782,                 1.2203,                0.38721,                0.55172,                 0.3916,                0.18042,                 1.6308,                 1.8465,                 1.4684,              0.0002105,              0.0002105,              0.0002105
                     45,                 1.2916,                 1.5702,                 1.2126,                0.38721,                0.55172,                 0.3916,                0.18042,                 1.6308,                 1.8465,                 1.4684,             0.00018575,             0.00018575,             0.00018575
                     46,                 1.2947,                 1.5053,                 1.2293,                0.35952,                0.55172,                   0.37,                0.17977,                 1.6506,                 1.8422,                 1.4711,               0.000161,               0.000161,               0.000161
                     47,                 1.2676,                 1.4871,                 1.1583,                0.36618,                  0.525,                0.36272,                0.17875,                 1.6542,                 1.8377,                 1.4715,             0.00013625,             0.00013625,             0.00013625
                     48,                 1.2705,                 1.4369,                 1.1782,                0.34662,                  0.525,                  0.358,                0.17685,                 1.6532,                 1.8391,                 1.4719,              0.0001115,              0.0001115,              0.0001115
                     49,                 1.2504,                 1.5234,                 1.1812,                0.34662,                  0.525,                  0.358,                0.17685,                 1.6532,                 1.8391,                 1.4719,              8.675e-05,              8.675e-05,              8.675e-05
                     50,                 1.2471,                 1.4887,                 1.1747,                0.35617,                0.53212,                0.35124,                 0.1727,                 1.6553,                 1.8363,                 1.4769,                6.2e-05,                6.2e-05,                6.2e-05
