                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.1138,                  1.055,                 1.0527,                0.36016,                0.35964,                0.26266,                0.14968,                  1.577,                 2.3496,                 1.3434,             0.00043325,             0.00043325,             0.00043325
                     35,                 1.1006,                 1.1372,                 1.0289,                0.38804,                0.36883,                0.29251,                0.16187,                 1.5972,                 2.2567,                 1.3427,             0.00043325,             0.00043325,             0.00043325
                     36,                  1.096,                 1.0652,                 1.0123,                0.41594,                0.31583,                0.29732,                0.16752,                 1.6233,                 2.1593,                 1.3448,              0.0004085,              0.0004085,              0.0004085
                     37,                 1.0705,                0.97421,                 1.0283,                0.41594,                0.31583,                0.29732,                0.16752,                 1.6233,                 2.1593,                 1.3448,             0.00038375,             0.00038375,             0.00038375
                     38,                 1.1116,                 1.0218,                 1.0621,                0.28917,                0.45026,                 0.2905,                 0.1551,                 1.6849,                 2.1174,                 1.3886,               0.000359,               0.000359,               0.000359
                     39,                 1.0831,                 1.1231,                 1.0271,                0.27747,                0.45083,                0.28829,                0.15272,                  1.707,                 2.0867,                 1.4158,             0.00033425,             0.00033425,             0.00033425
                     40,                 1.0917,                 1.0514,                 1.0176,                0.27984,                0.45421,                0.28682,                0.14985,                 1.6887,                 2.0865,                 1.4129,              0.0003095,              0.0003095,              0.0003095
                     41,                 1.0598,                 1.0248,                 1.0046,                0.27984,                0.45421,                0.28682,                0.14985,                 1.6887,                 2.0865,                 1.4129,             0.00028475,             0.00028475,             0.00028475
                     42,                 1.0817,                 1.0595,                 1.0152,                0.27729,                 0.4626,                0.28836,                0.14806,                 1.6754,                 2.1212,                 1.4157,                0.00026,                0.00026,                0.00026
                     43,                 1.0887,                  1.064,                 1.0324,                0.23637,                0.44236,                0.27547,                0.15108,                 1.6425,                 2.1464,                 1.4009,             0.00023525,             0.00023525,             0.00023525
                     44,                 1.0449,                 1.0767,                 1.0122,                0.25781,                0.50507,                0.29739,                0.15909,                  1.618,                 2.1028,                 1.3902,              0.0002105,              0.0002105,              0.0002105
                     45,                 1.0543,                  1.052,                 1.0349,                0.25781,                0.50507,                0.29739,                0.15909,                  1.618,                 2.1028,                 1.3902,             0.00018575,             0.00018575,             0.00018575
                     46,                 1.0771,                0.93953,                 0.9939,                0.27747,                0.50257,                0.30858,                0.16744,                 1.6051,                 2.0602,                 1.3803,               0.000161,               0.000161,               0.000161
                     47,                 1.0795,                 1.0146,                 1.0209,                0.26827,                0.50949,                 0.3275,                0.18217,                 1.6035,                 2.0258,                 1.3731,             0.00013625,             0.00013625,             0.00013625
                     48,                 1.0111,                0.95375,                0.97706,                0.28988,                 0.5091,                 0.3424,                0.18972,                 1.6078,                   1.99,                 1.3748,              0.0001115,              0.0001115,              0.0001115
                     49,                 1.0346,                0.98962,                 1.0395,                0.28988,                 0.5091,                 0.3424,                0.18972,                 1.6078,                   1.99,                 1.3748,              8.675e-05,              8.675e-05,              8.675e-05
                     50,                 1.0631,                  1.016,                 1.0146,                0.28859,                0.50601,                0.34964,                0.19371,                 1.6063,                  1.973,                 1.3723,                6.2e-05,                6.2e-05,                6.2e-05
